"","V1","V2","V3"
"1","pop_den_label","MedInc_label","0.630990606563546"
"2","pop_den_label","pop_den_label","0.40022910779379"
"3","MedInc_label","MedInc_label","0.423850255628407"
"4","pop_den_label","MedAge_label","0.458675545811063"
"5","pop_den_label","pop_den_label","0.40022910779379"
"6","MedAge_label","MedAge_label","0.074433692571534"
"7","pop_den_label","Per_White_label","0.533731143384186"
"8","pop_den_label","pop_den_label","0.40022910779379"
"9","Per_White_label","Per_White_label","0.0687461819689246"
"10","pop_den_label","Per_Bach_label","0.612481327689524"
"11","pop_den_label","pop_den_label","0.40022910779379"
"12","Per_Bach_label","Per_Bach_label","0.432763427521276"
"13","pop_den_label","Per_Public_label","0.571136027169362"
"14","pop_den_label","pop_den_label","0.40022910779379"
"15","Per_Public_label","Per_Public_label","0.13995312792349"
"16","pop_den_label","pos_label","0.629708709513288"
"17","pop_den_label","pop_den_label","0.40022910779379"
"18","pos_label","pos_label","0.487258251178736"
"19","pop_den_label","hosp_den_label","0.629372170149352"
"20","pop_den_label","pop_den_label","0.40022910779379"
"21","hosp_den_label","hosp_den_label","0.505337255615498"
"22","pop_den_label","transit_den_label","0.486919927402803"
"23","pop_den_label","pop_den_label","0.40022910779379"
"24","transit_den_label","transit_den_label","0.225396653862157"
"25","pop_den_label","non_transit_den_label","0.511391903125659"
"26","pop_den_label","pop_den_label","0.40022910779379"
"27","non_transit_den_label","non_transit_den_label","0.233956240274837"
"28","pop_den_label","stop_den_label","0.426185761816709"
"29","pop_den_label","pop_den_label","0.40022910779379"
"30","stop_den_label","stop_den_label","0.108733645766399"
"31","MedInc_label","MedAge_label","0.533440718983665"
"32","MedInc_label","MedInc_label","0.423850255628407"
"33","MedAge_label","MedAge_label","0.074433692571534"
"34","MedInc_label","Per_White_label","0.478674224562475"
"35","MedInc_label","MedInc_label","0.423850255628407"
"36","Per_White_label","Per_White_label","0.0687461819689246"
"37","MedInc_label","Per_Bach_label","0.535949475703533"
"38","MedInc_label","MedInc_label","0.423850255628407"
"39","Per_Bach_label","Per_Bach_label","0.432763427521276"
"40","MedInc_label","Per_Public_label","0.598847651245881"
"41","MedInc_label","MedInc_label","0.423850255628407"
